toi,pl_rade,pl_orbper,pl_trandurh,pl_trandeplim
123.01,24.9862,3.3088922,6.114,0
1230.01,3.2396838,25.0571312,7.5424225,0
1231.01,3.878568,24.2454967,3.3725583,0
1232.01,10.7048234,14.2545623,4.7250029,0
1233.01,2.6231641,14.1758947,3.7543827,0
1233.02,3.0026428,19.5901578,4.002861,0
1233.03,2.056748,6.2036219,3.01098,0
1233.04,1.553135,3.79589,2.4602856,0
1234.01,5.1936764,2.2645386,3.8193701,0
1235.01,2.00495,3.4447015,1.912,0
1236.01,12.7529892,3.0300715,2.5466671,0
1237.01,4.96046,12.72038,2.401,0
1237.02,2.9728283,6.238755,3.6178567,0
1238.01,2.5248559,3.2947689,1.7483103,0
1238.02,1.2407226,0.7645807,1.07057,0
1239.01,4.6025162,12.6396982,3.3830702,0
124.01,21.2705,1.8428078,1.449,0
1240.01,13.4646314,1.7208555,1.8346409,0
1241.01,7.6126429,4.7802597,1.4588658,0
1242.01,2.0605,0.3814849,0.565,0
1243.01,2.1961507,4.6595169,0.9011821,0
1244.01,2.2730301,6.4002807,2.1559875,0
1245.01,2.36747,4.8204512,1.756,0
1246.01,4.3869878,18.6548829,5.4431451,0
1246.02,3.2819879,4.3074513,2.3379196,0
1246.03,2.4489454,5.9041278,2.7678313,0
1246.04,3.241643,37.9251983,3.5345219,0
1247.01,2.18203,15.9234883,4.021,0
1248.01,6.9564258,4.3601536,2.3408909,0
1249.01,3.25485,13.0791581,2.97,0
125.01,2.66889,4.6517186,2.709,0
125.02,2.62011,9.1549418,2.457,0
125.03,2.54717,19.9815709,2.724,0
1250.01,3.8345209,1.4415044,0.9274524,0
1251.01,10.0859,5.9630544,2.951,0
1252.01,3.9968417,1.1219715,0.8226121,0
1253.01,4.03134,4.6756655,1.914,0
1254.01,6.5875997,1.0180114,1.1353639,0
1255.01,2.63881,10.288886,1.391,0
1256.01,4.087988,1.0332441,3.8017836,0
1257.01,14.5502,5.4526479,3.401,0
1258.01,3.60391,10.2613397,4.855,0
1259.01,12.5541925,3.4779776,2.5103489,0
126.01,14.1334903,3.0354017,2.8809533,0
1260.01,2.5802896,3.1274634,1.9812695,0
1260.02,2.7733674,7.4931613,1.9339295,0
1260.03,3.8319135,49.825166,3.8714976,0
1261.01,3.8092663,18.0574016,3.592177,0
1262.01,2.16145,20.8774413,3.562,0
1263.01,1.46266,1.0214555,1.252,0
1264.01,7.84317,2.7441672,1.418,0
1265.01,17.9781,2.2047452,3.996,0
1266.01,2.4691414,10.8948421,2.0719394,0
1266.02,1.9112282,18.8016111,1.9093524,0
1267.01,9.7548481,6.7900981,6.0786576,0
1268.01,9.31888,8.157721,3.788,0
1269.01,2.3483383,4.2529641,2.5733867,0
1269.02,2.22995,9.2378703,2.535,0
127.01,10.3261619,3.7955178,2.0198135,0
1270.01,18.4949,14.3034613,3.135,0
1271.01,13.1383,6.1349783,5.661,0
1272.01,4.5947,3.3159772,1.494,0
